epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.8265,1.3596,3.32158,1.16061,0.3769,0.25527,0.26913,0.1786,1.16022,2.82623,1.10466,0.00331034,0.00331034,0.0702069
2,64.7761,1.17718,1.34141,1.05994,0.66598,0.25325,0.31463,0.21793,1.10717,2.33243,1.09839,0.00638059,0.00638059,0.0399438
3,96.6567,1.19996,1.17038,1.04567,0.79906,0.30481,0.34909,0.2029,1.33201,2.66788,1.20994,0.00918683,0.00918683,0.00941672
4,128.664,1.24677,1.16164,1.06943,0.45896,0.31312,0.33893,0.18931,1.60015,2.71922,1.38443,0.008812,0.008812,0.008812
5,160.528,1.22847,1.07286,1.05994,0.57437,0.31346,0.34096,0.21802,1.37483,2.26447,1.26485,0.008416,0.008416,0.008416
6,192.521,1.2138,0.99382,1.05195,0.58981,0.35003,0.37239,0.22049,1.40098,2.2928,1.30024,0.00802,0.00802,0.00802
7,224.619,1.17169,0.92541,1.04444,0.57535,0.33875,0.37589,0.25432,1.20706,2.00514,1.15384,0.007624,0.007624,0.007624
8,256.608,1.13586,0.87193,1.02061,0.62346,0.39199,0.4376,0.29219,1.22337,1.95383,1.17886,0.007228,0.007228,0.007228
9,288.593,1.13082,0.83252,1.01859,0.82775,0.32662,0.39805,0.27061,1.25323,2.02285,1.1667,0.006832,0.006832,0.006832
10,320.574,1.08758,0.81194,1.00607,0.48934,0.36176,0.3645,0.2449,1.24829,2.01629,1.15444,0.006436,0.006436,0.006436
11,352.531,1.08945,0.76185,0.99968,0.4707,0.37079,0.36453,0.24869,1.22981,1.93345,1.15896,0.00604,0.00604,0.00604
12,384.52,1.05514,0.73931,0.9886,0.74154,0.35196,0.41375,0.29109,1.22734,1.83032,1.15761,0.005644,0.005644,0.005644
13,416.533,1.0325,0.71999,0.97876,0.64556,0.36295,0.43434,0.30375,1.1922,1.85355,1.18215,0.005248,0.005248,0.005248
14,448.566,1.04538,0.69582,0.97715,0.64517,0.33846,0.44031,0.31213,1.12932,1.67561,1.0913,0.004852,0.004852,0.004852
15,480.614,1.00833,0.66029,0.966,0.63577,0.37761,0.43496,0.30038,1.21468,1.9336,1.14409,0.004456,0.004456,0.004456
16,513.826,0.98877,0.64553,0.95283,0.61956,0.43583,0.4746,0.31265,1.16173,1.88044,1.12769,0.00406,0.00406,0.00406
17,545.876,0.9778,0.6264,0.94539,0.58429,0.36801,0.39542,0.28712,1.09262,1.8597,1.10396,0.003664,0.003664,0.003664
18,578.028,0.96578,0.60654,0.94242,0.71087,0.41572,0.46944,0.31374,1.12048,1.86299,1.09881,0.003268,0.003268,0.003268
19,609.992,0.92514,0.56599,0.93245,0.67541,0.33934,0.42295,0.30531,1.1151,1.81068,1.0978,0.002872,0.002872,0.002872
20,641.942,0.91532,0.5523,0.92256,0.60328,0.39346,0.44757,0.32394,1.08298,1.73928,1.07809,0.002476,0.002476,0.002476
21,673.993,0.89594,0.52527,0.91683,0.63946,0.37768,0.46101,0.32695,1.10238,1.65837,1.11658,0.00208,0.00208,0.00208
22,706.099,0.86586,0.49671,0.90438,0.62442,0.37481,0.45396,0.33047,1.06286,1.61856,1.09952,0.001684,0.001684,0.001684
23,738.168,0.85866,0.48781,0.90481,0.54485,0.44021,0.44659,0.33019,1.05943,1.76479,1.07203,0.001288,0.001288,0.001288
24,770.175,0.84195,0.4699,0.90606,0.53502,0.45181,0.44938,0.32734,1.06052,1.68664,1.07628,0.000892,0.000892,0.000892
25,802.118,0.81999,0.45343,0.89304,0.54563,0.43829,0.46276,0.33825,1.06661,1.70208,1.07455,0.000496,0.000496,0.000496
